1	A1BG
2	A2M
3	A2MP1
9	NAT1
10	NAT2
11	NATP
12	SERPINA3
13	AADAC
14	AAMP
15	AANAT
16	AARS1
17	AAVS1
18	ABAT
19	ABCA1
20	ABCA2
21	ABCA3
22	ABCB7
23	ABCF1
24	ABCA4
25	ABL1
26	AOC1
27	ABL2
28	ABO
29	ABR
30	ACAA1
31	ACACA
32	ACACB
33	ACADL
34	ACADM
35	ACADS
36	ACADSB
37	ACADVL
38	ACAT1
39	ACAT2
40	ASIC2
41	ASIC1
43	ACHE
46	ACLS
47	ACLY
48	ACO1
49	ACR
50	ACO2
51	ACOX1
52	ACP1
53	ACP2
54	ACP5
55	ACP3
56	ACRV1
58	ACTA1
59	ACTA2
60	ACTB
62	ACTBP2
63	ACTBP3
64	ACTBP4
66	ACTBP6
67	ACTBP7
68	ACTBP8
69	ACTBP9
70	ACTC1
71	ACTG1
72	ACTG2
73	ACTG1P1
74	ACTG1P2
75	ACTG1P3
78	ACTG1P6
79	ACTG1P7
80	ACTG1P8
81	ACTN4
82	ACTG1P9
83	ACTG1P10
86	ACTL6A
87	ACTN1
88	ACTN2
89	ACTN3
90	ACVR1
91	ACVR1B
92	ACVR2A
93	ACVR2B
94	ACVRL1
95	ACY1
97	ACYP1
98	ACYP2
100	ADA
101	ADAM8
102	ADAM10
103	ADAR
104	ADARB1
105	ADARB2
106	ADCP1
107	ADCY1
108	ADCY2
109	ADCY3
111	ADCY5
112	ADCY6
113	ADCY7
114	ADCY8
115	ADCY9
116	ADCYAP1
117	ADCYAP1R1
118	ADD1
119	ADD2
120	ADD3
122	ADFN
123	PLIN2
124	ADH1A
125	ADH1B
126	ADH1C
127	ADH4
128	ADH5
130	ADH6
131	ADH7
132	ADK
133	ADM
134	ADORA1
135	ADORA2A
136	ADORA2B
137	ADORA2BP1
140	ADORA3
141	ADPRH
142	PARP1
143	PARP4
144	PARP1P1
145	PARP1P2
146	ADRA1D
147	ADRA1B
148	ADRA1A
150	ADRA2A
151	ADRA2B
152	ADRA2C
153	ADRB1
154	ADRB2
155	ADRB3
156	GRK2
157	GRK3
158	ADSL
159	ADSS2
160	AP2A1
161	AP2A2
162	AP1B1
163	AP2B1
164	AP1G1
165	AEBP1
166	TLE5
167	CRISP1
169	AF8T
170	AFA
171	AFD1
172	AFG3L1P
173	AFM
174	AFP
175	AGA
176	ACAN
177	AGER
178	AGL
179	AGMX2
181	AGRP
